round_num, player_num, money_rnd1_winnings, money_rnd2_winnings, money_rnd3_winnings
# round 1 -- 8 of 8 players
1,  2, 0, 0, 0
1,  4, 0, 0, 0
1, 10, 0, 0, 0
1,  7, 0, 0, 0
1,  8, 0, 0, 0
1, 12, 0, 0, 0
1,  3, 0, 800, 0
1,  5, 0, 0, 0
# round 2 -- 8 of 8 players
2,  2, 800, 0, 0
2,  1, 0, 0, 0
2,  4, 0, 0, 0
2, 11, 0, 0, 0
2, 12, 0, 0, 0
2,  7, 0, 0, 0
2,  8, 0, 0, 0
2,  3, 0, 0, 0
# round 3 -- 11 of 11 players
3, 12, 0, 0, 0
3, 11, 0, 0, 0
3, 13, 0, 0, 0
3,  9, 1000, 0, 0
3,  4, 0, 0, 0
3,  2, 0, 0, 0
3,  1, 0, 500, 0
3,  8, 0, 0, 0
3,  3, 0, 0, 0
3, 14, 0, 500, 0
3,  7, 0, 0, 0
# round 4 -- 5 of 5 players
4,  4, 500, 0, 0
4,  2, 0, 0, 0
4,  1, 0, 0, 0
4,  3, 0, 500, 0
4, 12, 0, 0, 0
# round 5 -- 7 of 7 players
5,  1, 0, 0, 0
5,  3, 0, 0, 0
5,  2, 0, 0, 0
5, 11, 0, 0, 0
5,  4, 700, 0, 0
5,  7, 0, 0, 0
5,  8, 0, 0, 0
# round 6 -- 9 of 9 players
6,  2,   0,   0,   0
6,  4,   0,   0,   0
6, 12,   0, 900, 900
6, 11, 900,   0,   0
6,  7,   0,   0,   0
6, 10,   0,   0,   0
6,  8,   0,   0,   0
6,  3,   0,   0,   0
6,  1,   0,   0,   0
# round 7 -- 6 of 8 players (and only 5 for bonus round)
7, 12, 0,   0,   0
7,  3, 0,   0, 500
7,  2, 0, 600,   0
7,  4, 0,   0,   0
7, 11, 0,   0,   0
7,  1, 0,   0,   0
# round 8 -- 5 of 5 players
8,  2,   0,   0, 0
8,  1,   0,   0, 0
8,  4,   0, 300, 0
8, 11, 500, 200, 0
8,  3,   0,   0, 0
# round 9 -- 8 of 8 players
9,  2,   0,   0, 0
9,  1,   0, 400, 0
9,  4, 400, 400, 0
9,  3, 400,   0, 0
9, 12,   0,   0, 0
9, 11,   0,   0, 0
9,  7,   0,   0, 0
9,  9,   0,   0, 0
# round 10 -- 5 of 5 players
10, 2, 500,   0, 0
10, 4,   0,   0, 0
10, 3,   0, 500, 0
10,12,   0,   0, 0
10,11,   0,   0, 0
# round 11 -- 6 of 6 players
11, 2, 0, 0, 0
11, 1, 0, 0, 0
11, 4, 0, 0, 0
11, 3, 0, 600, 0
11, 7, 0, 0, 0
11,10, 0, 0, 0
